SVID,Name_E,Name_G,TCode,DCode,VCode,MDDS_Code
10001109,Jafar Ganj,Jafar Ganj,0313,73,0,
10001110,Madhu Pur,Madhu Pur,0313,73,0,
10001111,Kisaura,Kisaura,0270,61,88909,195849
10001119,Kunji,Kunji,0266,61,0,
10001120,Idilpur,Idilpur,0266,61,0,
10001121,Bajaha,Bajaha,0266,61,0,
10001122,Punarji,Punarji,0266,61,0,
10001123,Berni,Berni,0309,71,0,
10001124,Kunjal Pur,Kunjal Pur,0309,71,0,
10001125,Bhyau,Bhyau,0309,71,0,
10001126,Bachhepura,Bachhepura,0309,71,0,
10001127,Lohcha Pur,Lohcha Pur,0309,71,0,
10001128,Unchagoan,Unchagoan,0309,71,0,
10001129,Padhera,Padhera,0309,71,0,
10001130,Nagla Sukha,Nagla Sukha,0309,71,0,
10001131,Kodra,Kodra,0309,71,0,
10001132,Nagla Prathvi,Nagla Prathvi,0309,71,0,
10001133,Ramray Pur,Ramray Pur,0309,71,0,
10001134,Nagla Balit,Nagla Balit,0309,71,0,
10001135,Nagla rRadhe,Nagla rRadhe,0309,71,0,
10001136,Saray neem,Saray neem,0309,71,0,
10001137,Sherpur Mirjapur,Sherpur Mirjapur,0309,71,0,
10001138,Mukut Pur,Mukut Pur,0309,71,0,
10001139,Nagla Radhe,Nagla Radhe,0309,71,0,
10001140,Nagla Anni,Nagla Anni,0309,71,0,
10001141,Kothi,Kothi,0309,71,0,
10001142,Pyadapur,Pyadapur,0309,71,0,
10001143,Belpipri,Belpipri,0309,71,0,
10001144,Manigari,Manigari,0309,71,0,
10001145,Bichpuri,Bichpuri,0309,71,0,
10001146,Shah Nagar Timrau,Shah Nagar Timrau,0309,71,0,
10001147,Nagla Gadiya,Nagla Gadiya,0309,71,0,
10001148,Nagla Chhokar,Nagla Chhokar,0309,71,0,
10001149,Nagla Shrikrishna,Nagla Shrikrishna,0309,71,0,
10001150,Gudau,Gudau,0309,71,0,
10001151,Nagla Banshi,Nagla Banshi,0309,71,0,
10001152,Nagla Lal Singh,Nagla Lal Singh,0309,71,0,
10001153,Bara Samaspur,Bara Samaspur,0309,71,0,
10001154,Takhavan,Takhavan,0309,71,0,
10001155,Nagla Viri,Nagla Viri,0309,71,0,
10001156,Rajjanpur,Rajjanpur,0309,71,0,
10001157,Babul Gari,Babul Gari,0309,71,0,
10001158,Bhupoal Gari,Bhupoal Gari,0309,71,0,
10001159,Kasim Pur,Kasim Pur,0309,71,0,
10001160,Kosma,Kosma,0309,71,0,
10001161,Nagla Tirkhar,Nagla Tirkhar,0309,71,0,
10001162,Babugarh,Babugarh,0309,71,0,
10001163,Gopalpur,Gopalpur,0309,71,0,
10001164,Bahadur Pur,Bahadur Pur,0309,71,0,
10001165,ArajiBirhar,ArajiBirhar,0309,71,0,
10001166,Saluka Gari,Saluka Gari,0309,71,0,
10001167,PAHADPUR,PAHADPUR,0309,71,61568,0
10001168,Govind Garhi,Govind Garhi,0309,71,0,
10001169,Sona,Sona,0309,71,0,
10001170,Badanpur,Badanpur,0309,71,0,
10001171,Balipur,Balipur,0309,71,0,
10001172,Gwaliyara,Gwaliyara,0309,71,0,
10001173,Nagla Ganga,Nagla Ganga,0309,71,0,
10001174,Nagla Sukhdev,Nagla Sukhdev,0309,71,0,
10001175,Mai Nauabad,Mai Nauabad,0309,71,0,
10001176,Kartthani,Kartthani,0309,71,0,
10001177,Kajipur,Kajipur,0309,71,0,
10001178,Sakrauli,Sakrauli,0309,71,0,
10001179,Mahapur,Mahapur,0309,71,0,
10001180,Dharampur,Dharampur,0309,71,0,
10001181,Udai Gari,Udai Gari,0309,71,0,
10001182,Balgari,Balgari,0309,71,0,
10001183,Nagla brajpur,Nagla brajpur,0309,71,0,
10001184,Nagla Udai,Nagla Udai,0309,71,0,
10001185,Nagla Vakt,Nagla Vakt,0309,71,0,
10001186,Nagla semar,Nagla semar,0309,71,0,
10001187,Vsundhara,Vsundhara,0309,71,0,
10001188,N.Galua,N.Galua,0309,71,0,
10001189,Nohri,Nohri,0309,71,0,
10001190,Vishanpur,Vishanpur,0309,71,0,
10001191,Kheda,Kheda,0309,71,0,
10001192,Nijampur,Nijampur,0309,71,0,
10001193,Rajgadh,Rajgadh,0309,71,0,
10001194,Ganeshpur,Ganeshpur,0309,71,0,
10001195,N.Bhavni,N.Bhavni,0309,71,0,
10001196,N.Bhavnai,N.Bhavnai,0309,71,0,
10001197,N.Madho,N.Madho,0309,71,0,
10001198,Navli,Navli,0309,71,0,
10001199,N.Kesri,N.Kesri,0309,71,0,
10001200,Pilua,Pilua,0309,71,0,
10001201,Tatarpur,Tatarpur,0309,71,0,
10001202,N.saiya,N.saiya,0309,71,0,
10001203,Jawahar Pur,Jawahar Pur,0309,71,0,
10001204,N.Daleep,N.Daleep,0309,71,0,
10001205,N.Mohan,N.Mohan,0309,71,0,
10001206,Badagao,Badagao,0309,71,0,
10001207,N.Roop,N.Roop,0309,71,0,
10001208,Nidhauli city,Nidhauli city,0309,71,0,
10001209,Kheranooh,Kheranooh,0309,71,0,
10001210,Nag. Chand,Nag. Chand,0309,71,0,
10001211,Dalshahpur,Dalshahpur,0309,71,0,
10001212,Gulabpur,Gulabpur,0309,71,0,
10001213,Khanjarpur,Khanjarpur,0309,71,0,
10001214,Raseedpur,Raseedpur,0309,71,0,
10001215,Dayarampur,Dayarampur,0309,71,0,
10001216,Dulha,Dulha,0309,71,0,
10001217,Pabah,Pabah,0309,71,0,
10001218,Abdulhaipur,Abdulhaipur,0309,71,0,
10001219,Butpura,Butpura,0309,71,0,
10001220,Kheriya Khate,Kheriya Khate,0309,71,0,
10001221,Mo.Kambho,Mo.Kambho,0309,71,0,
10001222,Mo.kayasthan,Mo.kayasthan,0309,71,0,
10001223,Mo.Kasyan Ban,Mo.Kasyan Ban,0309,71,0,
10001224,Jinehra,Jinehra,0309,71,0,
10001225,Mirechi,Mirechi,0309,71,0,
10001226,Kutena,Kutena,0309,71,0,
10001227,N.Chahbcha,N.Chahbcha,0309,71,0,
10001228,Farid Pur,Farid Pur,0309,71,0,
10001229,Fatepur,Fatepur,0309,71,0,
10001230,Nagla Machi,Nagla Machi,0309,71,0,
10001231,Bagwala,Bagwala,0309,71,0,
10001232,Nagla Chatar,Nagla Chatar,0309,71,0,
10001233,Gariyahar,Gariyahar,0309,71,0,
10001234,Kanikpur,Kanikpur,0309,71,0,
10001235,Ishpur,Ishpur,0309,71,0,
10001236,Vichiya,Vichiya,0309,71,0,
10001237,Ganganpur,Ganganpur,0309,71,0,
10001238,Nagla Dhani,Nagla Dhani,0309,71,0,
10001239,Kishangarh,Kishangarh,0309,71,0,
10001240,Taliya,Taliya,0309,71,0,
10001241,Baroli,Baroli,0309,71,0,
10001242,Ramnagar,Ramnagar,0309,71,0,
10001243,Kamalpur,Kamalpur,0309,71,0,
10001244,Sahspur,Sahspur,0309,71,0,
10001245,Nagla Ninnar,Nagla Ninnar,0309,71,0,
10001246,Bajidpur,Bajidpur,0309,71,0,
10001247,Bhalaipur,Bhalaipur,0309,71,0,
10001248,Raj Pura,Raj Pura,0309,71,0,
10001249,Binaura,Binaura,0309,71,0,
10001250,Mo.kayasthan,Mo.kayasthan,0308,71,0,
10001251,Mo.Kambho,Mo.Kambho,0308,71,0,
10001252,Mo.Kasyan Ban,Mo.Kasyan Ban,0308,71,0,
10001253,Jinehra,Jinehra,0308,71,0,
10001254,Mirechi,Mirechi,0308,71,0,
10001255,Kutena,Kutena,0308,71,0,
10001256,N.Chahbcha,N.Chahbcha,0308,71,0,
10001257,Farid Pur,Farid Pur,0308,71,0,
10001258,Fatepur,Fatepur,0308,71,0,
10001259,Nagla Machi,Nagla Machi,0308,71,0,
10001260,Bagwala,Bagwala,0308,71,0,
